Signature_name	Gene_list
Colon.U.enteric_nervous_system.glia	ERBB3,GFAP,PLP1,S100B,SOX10
Colon.U.enteric_nervous_system.neuron	ELAVL3,ELAVL4,RET,SNAP25,UCHL1
Colon.U.epithelial.enterocyte	CBR1,EPHX2,FGF19,LCT,MEP1A
Colon.U.epithelial.enteroendocrine.mature	ADGRD1,AFP,BDNF,CCK,FABP5,GAL,GCG,GCH1,GIP,IAPP,NTS,PYY,SCGN,SST,TAC1
Colon.U.epithelial.enteroendocrine	CCK,CHGB,CPE,GFRA3,NEUROD1,VWA5B2
Colon.U.epithelial.enteroendocrine.progenitor	CLCA4,DLL1,GHRL,NEUROD1,NEUROD2
Colon.U.epithelial.epithelial	CLDN3,EPCAM,GUCA2A,KRT18,KRT8
Colon.U.epithelial.goblet	CCL9,MANF,TFF3
Colon.U.epithelial.microfold	ANXA5,CCL20,CTSH,GP2,MIER3,SOX8,UBD
Colon.U.epithelial	EPCAM
Colon.U.epithelial.paneth	LYZ2
Colon.U.epithelial.tuft	CD24,DCLK1,LRMP
Colon.U.immune.Bcell.cycling	CD19,CD38,MKI67,MS4A1,POU2AF1,PRDM1,PTPRC,TCL1A,TNFRSF13B
Colon.U.immune.Bcell.follicular	CD19,CD40,CXCR5,FCER2,MS4A1,TCL1A
Colon.U.immune.Bcell.memory	CD19,CD40,CXCR5,MS4A1,POU2AF1,TNFRSF13B
Colon.U.immune.Bcell.plasma-iga	CD38,POU2AF1,PRDM1,SDC1,TNFRSF13B
Colon.U.immune.Bcell.plasma-igg	CD38,IGHG1,POU2AF1,PRDM1,SDC1,TNFRSF13B
Colon.U.immune.dc.conventional_1	BATF3,CADM1,CCR6,CD4,CD40,CLEC9A,ID2,IDO1,PTPRC,XCR1
Colon.U.immune.dc.conventional_2	CCR6,CD4,CD40,CD86,CLEC10A,ID2,ITGAX,PTPRC
Colon.U.immune.dc.cycling	CD14,CD4,CLEC10A,MKI67,PRDM1,PTPRC
Colon.U.immune.dc.lymphoid	CCR7,CD40,ID2,IL7R,PTPRC
Colon.U.immune.dc.plasmacytoid	CD4,CXCR3,IRF4,SELL,TCL1A
Colon.U.immune.dc.conventional_type_1	BATF3,CADM1,CLEC9A,IDO1,PTPRC,XCR1
Colon.U.immune.dc.conventional_type_2	CD86,CLEC10A,PTPRC
Colon.U.immune.ilc	CCR6,ICOS,ID2,IL7R,PTPRC
Colon.U.immune.macrophage.lyve1	CD14,CD4,CLEC10A,FCGR3A,ITGAX,LYVE1,PTPRC
Colon.U.immune.macrophage	CD14,CD4,CLEC10A,ITGAX,PRDM1,PTPRC
Colon.U.immune.mast	KIT,MS4A2,TPSAB1,TPSB2
Colon.U.immune.monocyte	CD14,CD68,FCGR3A,ITGAX,PTPRC
Colon.U.immune.nk	CD38,FCGR3A,ID2,IFNG,KLRD1,NCR1,PRDM1,PTPRC
Colon.U.immune.Tcell.activated_cd4	CCR6,CD3D,ICOS,ID2,IL7R,PTPRC
Colon.U.immune.Tcell.cd8	CD3D,CD8A,ID2,IL7R,PRDM1,PTPRC
Colon.U.immune.Tcell.central_memory	CCR7,CD3D,IL7R,PTPRC,SELL
Colon.U.immune.Tcell.cycling_gamma-delta	CD38,ID2,IFNG,KLRD1,MKI67,NCR1,PRDM1,PTPRC
Colon.U.immune.Tcell.follicular_helper	CD3D,ICOS,IL7R,PRDM1,PTPRC
Colon.U.immune.Tcell.gamma-delta	CD3D,ID2,KLRD1,PRDM1,PTPRC
Colon.U.immune.Tcell.h1	CD3D,ID2,IL7R,PRDM1,PTPRC
Colon.U.immune.Tcell.h17	CCR6,CD3D,ID2,IL22,IL7R,PTPRC
Colon.U.immune.Tcell.treg	CD3D,FOXP3,ICOS,PRDM1,PTPRC,SELL
Colon.D20.C.Bcell	AFF3,ARHGAP15,BANK1,EBF1,MEF2C,PRKCB
